2024-06-01 00:45:03,940 (INFO): Waiting for clients to connect on port 35001
2024-06-01 00:45:08,763 (DEBUG): Client ('127.0.0.1', 56926) just connected
2024-06-01 00:45:08,764 (INFO): Ask for nr. x quad operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:08,764 (INFO): Ask for nr. y quad operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:08,801 (INFO): Asking for walls position:('127.0.0.1', 56926)
2024-06-01 00:45:12,756 (INFO): Adding player ('127.0.0.1', 56926)
2024-06-01 00:45:24,296 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:24,329 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:24,361 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:24,395 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:24,564 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:24,597 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:24,632 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:24,666 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:24,834 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:24,868 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:24,901 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:24,935 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:24,968 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,002 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,069 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,103 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,103 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,137 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,171 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,204 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,237 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,237 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,270 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,304 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,370 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,404 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,639 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,673 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,706 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,740 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,773 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,807 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,841 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,874 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,908 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,908 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,908 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,942 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,942 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,942 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,976 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,976 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:25,976 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:26,009 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:26,009 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:26,043 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:26,347 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:26,347 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:26,381 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:26,381 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:26,415 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:26,449 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:26,585 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:26,619 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:26,652 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:26,685 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:32,535 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:32,568 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:32,601 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:32,635 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:32,635 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:32,668 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:32,668 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:32,702 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:32,702 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:32,736 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:32,736 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:32,769 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:32,802 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:32,902 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:32,936 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:32,970 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:32,970 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:33,004 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:33,004 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:33,004 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:33,037 (INFO): Update operation requested ('127.0.0.1', 56926)
2024-06-01 00:45:33,037 (INFO): Update operation requested ('127.0.0.1', 56926)
